state	action
775	-1
776	-1
777	-1
778	-1
779	1
780	1
781	-1
782	1
783	0
784	0
785	1
786	-1
787	1
788	1
789	-1
790	-1
791	-1
792	1
793	0
794	0
795	-1
796	0
797	-1
798	1
799	1
800	1
801	0
802	-1
803	-1
804	-1
805	0
806	0
807	-1
808	1
809	1
810	0
811	0
812	0
813	-1
814	0
815	0
816	0
817	-1
818	-1
819	-1
820	1
821	-1
822	1
823	-1
824	1
825	0
826	0
827	1
828	0
829	1
830	0
831	0
832	1
833	1
834	-1
835	1
836	0
837	-1
839	-1
840	-1
841	-1
842	-1
843	-1
844	0
845	1
846	1
847	0
848	0
849	-1
850	1
851	-1
852	0
853	0
854	0
855	0
856	1
857	-1
858	-1
859	0
860	0
861	-1
862	1
863	0
864	1
865	-1
866	0
867	0
868	0
869	0
870	-1
871	-1
872	1
873	0
874	-1
875	0
876	0
877	1
878	0
879	0
880	1
881	0
882	1
883	1
884	-1
885	-1
886	0
887	-1
888	-1
889	-1
890	1
891	1
892	0
893	0
895	-1
896	-1
897	1
899	1
900	1
901	1
902	-1
903	-1
904	1
905	-1
906	0
907	-1
908	-1
909	1
910	-1
911	0
912	0
913	-1
914	0
915	1
916	-1
917	-1
918	0
919	1
920	1
921	-1
922	1
923	0
924	0
925	-1
926	0
927	-1
928	-1
929	-1
931	-1
932	0
933	0
934	-1
935	-1
936	0
937	1
938	0
939	0
940	1
941	0
942	0
943	0
944	-1
945	0
946	-1
947	-1
948	-1
949	-1
950	1
951	0
952	-1
953	-1
954	1
955	-1
956	1
957	1
958	1
959	0
960	1
961	1
962	-1
963	-1
964	1
965	1
966	1
967	0
968	0
969	0
970	-1
972	-1
973	0
974	0
975	1
976	1
977	1
978	-1
979	0
980	0
981	1
982	0
983	1
984	-1
985	-1
986	-1
987	-1
988	0
989	0
990	-1
991	1
992	1
993	0
994	1
995	0
996	1
997	1
998	1
999	-1
1000	0
1001	0
1002	0
1003	0
1004	1
1005	-1
1006	1
1007	1
1008	0
1009	0
1010	-1
1011	1
1012	0
1013	0
1014	-1
1015	1
1016	1
1017	1
1018	0
1019	-1
1020	1
1021	1
1023	0
1024	0
1025	-1
1027	0
1028	0
1029	-1
1030	1
1031	-1
1032	0
1033	1
1034	-1
1035	-1
1036	0
1037	1
1038	0
1039	1
1040	1
1041	1
1042	-1
1043	1
1044	-1
1045	1
1046	1
1047	-1
1048	-1
1049	0
1050	0
1051	1
1052	-1
1053	-1
1054	-1
1055	0
1056	1
1057	-1
1058	0
1059	0
1060	0
1061	1
1062	-1
1063	1
1064	1
1065	-1
1066	1
1067	1
1068	1
1069	1
1070	0
1071	0
1072	0
1073	-1
1074	0
1075	0
1076	-1
1077	0
1078	1
1079	-1
1080	1
1081	-1
1082	0
1083	0
1084	1
1085	1
1086	0
1087	-1
1088	1
1089	-1
1090	0
1091	-1
1092	0
1093	0
1094	0
1095	-1
1096	-1
1097	-1
1098	1
1099	-1
1100	1
1101	1
1102	1
1103	-1
1104	0
1105	0
1106	1
1107	0
1108	0
1109	0
1110	0
1111	0
1112	-1
1113	-1
1114	0
1115	-1
1116	0
1117	0
1118	1
1119	0
1120	1
1121	1
1122	1
1123	0
1124	0
1125	0
1126	-1
1127	0
1128	-1
1129	-1
1130	1
1131	1
1132	0
1133	-1
1134	0
1135	1
1136	1
1137	-1
1138	1
1139	1
1140	1
1141	1
1142	1
1143	0
1144	0
1145	-1
1146	0
1147	0
1148	-1
1149	1
1151	-1
1152	-1
1153	-1
1155	0
1156	-1
1157	-1
1158	0
1159	1
1160	0
1161	0
1162	-1
1163	-1
1164	1
1165	-1
1166	-1
1167	1
1168	-1
1169	0
1170	-1
1171	1
1172	0
1173	1
1174	1
1175	-1
1176	0
1177	0
1178	0
1179	-1
1180	1
1181	-1
1182	0
1183	-1
1184	-1
1185	1
1186	0
1187	0
1188	1
1189	0
1190	1
1191	0
1192	-1
1193	-1
1194	0
1195	-1
1196	1
1197	1
1198	1
1199	-1
1200	1
1201	0
1202	-1
1203	0
1204	-1
1205	0
1206	1
1207	1
1208	0
1209	1
1210	1
1211	1
1212	1
1213	-1
1214	1
1215	1
1216	0
1217	-1
1218	-1
1219	0
1220	0
1221	0
1222	1
1223	0
1224	-1
1225	-1
1226	1
1227	0
1228	1
1229	1
1230	1
1231	0
1232	1
1233	1
1234	1
1235	0
1236	-1
1237	0
1238	-1
1239	0
1240	1
1241	1
1242	-1
1243	-1
1244	0
1245	-1
1246	1
1247	1
1248	1
1249	0
1250	-1
1251	-1
1252	1
1253	1
1254	0
1255	-1
1256	-1
1257	1
1258	0
1259	0
1260	1
1261	0
1262	0
1263	-1
1264	-1
1265	1
1266	-1
1267	1
1268	0
1269	-1
1270	1
1271	-1
1272	-1
1273	0
1274	1
1275	-1
1276	1
1277	0
1279	-1
1280	0
1281	0
1283	-1
1284	-1
1285	-1
1286	-1
1287	-1
1288	0
1289	0
1290	0
1291	-1
1292	1
1293	1
1294	-1
1295	0
1296	-1
1297	1
1298	0
1299	-1
1300	0
1301	1
1302	0
1303	1
1304	0
1305	-1
1306	0
1307	1
1308	-1
1309	0
1310	1
1311	1
1312	1
1313	0
1314	-1
1315	0
1316	0
1317	-1
1318	-1
1319	0
1320	0
1321	-1
1322	-1
1323	-1
1324	0
1325	1
1326	-1
1327	-1
1328	0
1329	1
1330	0
1331	1
1332	0
1333	0
1334	0
1335	-1
1336	0
1337	-1
1338	1
1339	-1
1340	1
1341	-1
1342	0
1343	1
1344	0
1345	-1
1346	-1
1347	1
1348	-1
1349	1
1350	-1
1351	1
1352	-1
1353	-1
1354	-1
1355	-1
1356	-1
1357	0
1358	1
1359	1
1360	1
1361	1
1362	0
1363	0
1364	0
1365	1
1366	1
1367	0
1368	1
1369	0
1370	1
1371	1
1372	-1
1373	-1
1374	-1
1375	0
1376	-1
1377	-1
1378	-1
1379	-1
1380	1
1381	-1
1382	0
1383	1
1384	0
1385	0
1386	0
1387	1
1388	1
1389	1
1390	-1
1391	1
1392	-1
1393	1
1394	1
1395	-1
1396	0
1397	0
1398	-1
1399	-1
1400	0
1401	1
1402	0
1403	-1
1404	1
1405	-1
1407	-1
1408	-1
1409	1
1411	0
1412	-1
1413	0
1414	-1
1415	-1
1416	0
1417	1
1418	1
1419	-1
1420	1
1421	1
1422	0
1423	-1
1424	-1
1425	-1
1426	1
1427	0
1428	0
1429	-1
1430	-1
1431	-1
1432	1
1433	0
1434	0
1435	0
1437	0
1438	1
1439	-1
1440	-1
1441	0
1442	1
1443	0
1444	-1
1445	0
1446	1
1447	1
1448	1
1449	0
1450	0
1451	1
1452	1
1453	-1
1454	-1
1455	-1
1456	1
1457	-1
1458	0
1459	0
1460	-1
1461	0
1462	-1
1463	-1
1464	1
1465	1
1466	0
1467	-1
1468	-1
1469	-1
1470	1
1471	0
1472	-1
1473	-1
1474	-1
1475	1
1476	1
1477	0
1478	0
1479	1
1480	-1
1481	1
1482	-1
1483	-1
1484	-1
1485	1
1486	0
1487	0
1488	-1
1489	1
1490	1
1491	-1
1492	-1
1493	-1
1494	0
1495	0
1496	1
1497	0
1498	0
1499	-1
1500	0
1501	0
1502	-1
1503	0
1504	0
1505	-1
1506	-1
1507	-1
1508	1
1509	1
1510	-1
1511	1
1512	0
1513	-1
1514	0
1515	1
1516	0
1517	1
1518	-1
1519	1
1520	1
1521	0
1522	1
1523	-1
1524	0
1525	0
1526	0
1527	-1
1528	0
1529	0
1530	0
1531	0
1532	0
1533	1
1535	-1
1536	0
1537	1
1539	0
1540	0
1541	-1
1542	-1
1543	1
1544	-1
1545	1
1546	-1
1547	-1
1548	-1
1549	1
1550	-1
1551	1
1552	0
1553	0
1554	-1
1555	0
1556	-1
1557	0
1558	0
1559	-1
1560	0
1561	-1
1562	0
1563	1
1564	-1
1565	1
1566	0
1567	-1
1568	0
1569	1
1570	-1
1571	-1
1572	-1
1573	0
1574	0
1575	0
1576	-1
1577	-1
1578	1
1579	0
1580	-1
1581	1
1582	0
1583	1
1584	0
1585	1
1586	0
1587	-1
1588	1
1589	0
1590	1
1591	0
1592	-1
1593	-1
1594	1
1595	0
1596	-1
1597	0
1598	1
1599	1
1600	1
1601	0
1602	-1
1603	0
1604	0
1605	0
1606	1
1607	1
1608	-1
1609	1
1610	0
1611	1
1612	0
1613	-1
1614	0
1615	-1
1616	-1
1617	0
1618	1
1619	-1
1620	0
1621	0
1622	1
1623	1
1624	1
1625	1
1626	-1
1627	-1
1628	1
1629	1
1630	1
1631	-1
1632	0
1633	0
1634	1
1635	1
1636	-1
1637	-1
1638	-1
1639	-1
1640	1
1641	1
1642	-1
1643	-1
1644	0
1645	0
1646	0
1647	-1
1648	1
1649	0
1650	-1
1651	0
1652	1
1653	0
1654	-1
1655	1
1656	1
1657	1
1658	-1
1659	0
1660	-1
1661	-1
1663	-1
1664	0
1665	1
1667	0
1668	0
1669	1
1670	0
1671	0
1672	-1
1673	1
1674	1
1676	0
1677	0
1678	0
1679	0
1680	1
1681	0
1682	0
1683	1
1684	1
1685	1
1686	1
1687	1
1688	-1
1689	1
1690	1
1692	1
1693	-1
1694	-1
1695	-1
1696	-1
1697	0
1698	-1
1699	-1
1700	1
1701	1
1702	1
1703	1
1704	1
1705	1
1706	1
1707	-1
1708	1
1709	-1
1710	-1
1711	-1
1712	-1
1713	0
1714	0
1715	1
1716	0
1717	-1
1718	-1
1719	0
1720	0
1721	-1
1722	0
1723	1
1724	-1
1725	-1
1726	1
1727	1
1728	1
1729	0
1730	1
1731	-1
1732	0
1733	0
1734	-1
1735	1
1736	1
1737	-1
1738	-1
1739	-1
1740	-1
1741	-1
1742	-1
1743	1
1744	0
1745	-1
1746	1
1747	0
1748	1
1749	0
1750	-1
1751	1
1752	0
1753	-1
1754	1
1755	1
1756	1
1757	0
1758	0
1759	0
1760	0
1761	0
1762	1
1763	1
1764	1
1765	-1
1766	1
1767	-1
1768	-1
1769	1
1770	1
1771	0
1772	0
1773	-1
1774	-1
1775	-1
1776	1
1777	0
1778	-1
1779	0
1780	-1
1781	1
1782	1
1783	-1
1784	1
1785	-1
1786	1
1787	-1
1788	-1
1789	1
1791	-1
1792	-1
1793	-1
1796	0
1797	0
1798	-1
1799	1
1800	-1
1801	0
1802	0
1804	0
1805	-1
1806	1
1807	0
1808	-1
1809	1
1810	0
1811	1
1812	-1
1813	-1
1814	0
1815	1
1816	1
1817	1
1818	-1
1819	0
1820	0
1821	0
1822	1
1823	-1
1824	1
1825	-1
1826	1
1827	1
1828	0
1829	1
1830	-1
1831	-1
1832	1
1833	-1
1834	0
1835	-1
1836	1
1837	1
1838	-1
1839	1
1840	-1
1841	0
1842	0
1843	-1
1844	-1
1845	1
1846	-1
1847	-1
1848	0
1849	0
1850	1
1851	1
1852	1
1853	1
1854	0
1855	0
1856	-1
1857	-1
1858	1
1859	-1
1860	0
1861	0
1862	1
1863	-1
1864	-1
1865	1
1866	0
1867	0
1868	0
1869	-1
1870	-1
1871	-1
1872	0
1873	1
1874	1
1875	-1
1876	1
1877	1
1878	0
1879	1
1880	-1
1881	0
1882	1
1883	-1
1884	0
1885	0
1886	0
1887	1
1888	1
1889	1
1890	-1
1891	0
1892	0
1893	-1
1894	1
1895	0
1896	0
1897	1
1898	0
1899	0
1900	-1
1901	1
1902	0
1903	0
1904	0
1905	0
1906	0
1907	1
1908	1
1909	-1
1910	-1
1911	-1
1912	-1
1913	0
1914	1
1915	-1
1916	-1
1919	1
1920	0
1921	1
1924	1
1925	1
1926	-1
1927	-1
1928	-1
1929	0
1930	-1
1933	-1
1934	1
1935	0
1936	0
1937	0
1938	-1
1939	1
1941	0
1942	-1
1943	1
1944	0
1945	1
1946	0
1947	1
1949	1
1950	-1
1951	0
1952	0
1953	0
1954	-1
1955	1
1957	-1
1958	-1
1959	0
1960	0
1961	0
1962	-1
1963	0
1965	1
1966	1
1967	1
1968	1
1969	0
1970	-1
1971	0
1973	0
1974	-1
1975	1
1976	-1
1977	-1
1978	-1
1979	-1
1981	-1
1982	1
1983	0
1984	-1
1985	-1
1986	0
1987	1
1989	1
1990	-1
1991	-1
1992	0
1993	0
1994	1
1995	-1
1997	-1
1998	0
1999	1
2000	-1
2001	1
2002	-1
2003	1
2005	0
2006	1
2007	1
2008	0
2009	-1
2010	0
2011	0
2013	0
2014	-1
2015	0
2016	-1
2017	0
2018	0
2019	0
2021	0
2022	-1
2023	1
2024	1
2025	1
2026	0
2027	-1
2029	1
2030	0
2031	-1
2032	1
2033	0
2034	1
2035	-1
2038	1
2039	-1
2040	1
2041	-1
2042	1
2043	0
2045	0
2046	0
2047	1
